TransactionID,CustomerID,CustomerGender,CustomerName,CustomerCity,CustomerState,CustomerCountry,CustomerContinent,CustomerDOB
10000001,1152038,Male,Nicholas Newman,LILBURN TOWER,Northumberland,United Kingdom,Europe,1959-03-19
10000002,1152038,Male,Nicholas Newman,LILBURN TOWER,Northumberland,United Kingdom,Europe,1959-03-19
10000003,1152038,Male,Nicholas Newman,LILBURN TOWER,Northumberland,United Kingdom,Europe,1959-03-19
10000004,1152038,Male,Nicholas Newman,LILBURN TOWER,Northumberland,United Kingdom,Europe,1959-03-19
10000011,240085,Female,Jena Lundy,Williamsburg,Ontario,Canada,North America,1972-12-05
10000012,240085,Female,Jena Lundy,Williamsburg,Ontario,Canada,North America,1972-12-05
10000013,240085,Female,Jena Lundy,Williamsburg,Ontario,Canada,North America,1972-12-05
10000014,240085,Female,Jena Lundy,Williamsburg,Ontario,Canada,North America,1972-12-05
10000021,1201619,Female,Margie White,Port Charlotte,Florida,United States,North America,1989-03-09
10000022,1201619,Female,Margie White,Port Charlotte,Florida,United States,North America,1989-03-09
10000023,1201619,Female,Margie White,Port Charlotte,Florida,United States,North America,1989-03-09
10000024,1201619,Female,Margie White,Port Charlotte,Florida,United States,North America,1989-03-09
10000031,1574270,Male,Jerry Shively,Los Angeles,California,United States,North America,1948-03-17
10000041,1542638,Female,Mercedes Olivo,West Los Angeles,California,United States,North America,1977-07-22
10000042,1542638,Female,Mercedes Olivo,West Los Angeles,California,United States,North America,1977-07-22
10000051,497899,Female,Heike Papst,Hayingen,Baden-Württemberg,Germany,Europe,2001-03-23
10000061,758494,Male,Girolamo Russo,Castell'Umberto,Messina,Italy,Europe,1965-07-11
10000081,354010,Female,Rebecca Gibbs,Bragg Creek,Alberta,Canada,North America,1972-03-22
10000091,1697711,Female,Lavonne Jefferson,Worcester,Massachusetts,United States,North America,1996-05-31
10000092,1697711,Female,Lavonne Jefferson,Worcester,Massachusetts,United States,North America,1996-05-31
10000093,1697711,Female,Lavonne Jefferson,Worcester,Massachusetts,United States,North America,1996-05-31
10000094,1697711,Female,Lavonne Jefferson,Worcester,Massachusetts,United States,North America,1996-05-31
10000095,1697711,Female,Lavonne Jefferson,Worcester,Massachusetts,United States,North America,1996-05-31
10010001,1883710,Female,Esther Jenkins,Lexington,Kentucky,United States,North America,1949-05-16
10010011,1802110,Male,Richard Velez,West Valley City,Utah,United States,North America,1937-08-28
10010012,1802110,Male,Richard Velez,West Valley City,Utah,United States,North America,1937-08-28
10010013,1802110,Male,Richard Velez,West Valley City,Utah,United States,North America,1937-08-28
10010014,1802110,Male,Richard Velez,West Valley City,Utah,United States,North America,1937-08-28
10010021,351430,Female,Mai Stevenson,Bourget,Ontario,Canada,North America,1987-11-24
10010022,351430,Female,Mai Stevenson,Bourget,Ontario,Canada,North America,1987-11-24
10010023,351430,Female,Mai Stevenson,Bourget,Ontario,Canada,North America,1987-11-24
10010041,906967,Male,Bradley Greenwood,CUCKNEY,Bolsover,United Kingdom,Europe,1997-03-30
10010042,906967,Male,Bradley Greenwood,CUCKNEY,Bolsover,United Kingdom,Europe,1997-03-30
10010043,906967,Male,Bradley Greenwood,CUCKNEY,Bolsover,United Kingdom,Europe,1997-03-30
